OP Uniek Nr Id ,LNO Uniek Nr ,PAP Id,PAP Omschrijving,PAP ACT Code,PAP ACT Omschrijving,PAP PLA Code,PAP PLA Omschrijving,PAP PRD Code,PAP PRD Omschrijving,TYP ERK Erkenning code,TYP ERK omschrijving,TYP ERK Erkenning vorm Omschrijving,TYP ERK Erkenning Vorm Code,PC Postcode ,GEM Naam ,PR Naam ,ERK Nummer ,ERK Begindatum ,Datum vandaag
9004604819,4604818,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6747.0,Châtillon,Luxemburg,,2011/07/04 00:00:00,2026/08/24 04:13:33
9006557987,4674602,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2930.0,Brasschaat,Antwerpen,,2026/04/30 00:00:00,2026/08/24 04:13:33
9004743095,4743094,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2013/04/18 00:00:00,2026/08/24 04:13:33
9005445964,5445963,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9300.0,Aalst,Oost-Vlaanderen,,2022/08/01 00:00:00,2026/08/24 04:13:33
9005259321,5259320,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2250.0,Olen,Antwerpen,,2020/04/09 00:00:00,2026/08/24 04:13:33
9005373274,5373273,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2021/08/01 00:00:00,2026/08/24 04:13:33
9005586998,893543214,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1780.0,Wemmel,Vlaams Brabant,,2024/07/09 00:00:00,2026/08/24 04:13:33
9006560610,6560609,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6540.0,Lobbes,Henegouwen,,2026/05/26 00:00:00,2026/08/24 04:13:33
9004750309,4750308,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3690.0,Zutendaal,Limburg,,2013/01/01 00:00:00,2026/08/24 04:13:33
9005215811,5215810,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2019/08/26 00:00:00,2026/08/24 04:13:33
9005578131,5578130,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2950.0,Kapellen (Antw.),Antwerpen,,2024/05/11 00:00:00,2026/08/24 04:13:33
9005072467,5072466,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3631.0,Boorsem,Limburg,,2017/07/16 00:00:00,2026/08/24 04:13:33
9005538275,5538274,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6972.0,Erneuville,Luxemburg,,2023/10/30 00:00:00,2026/08/24 04:13:33
9005543807,5543806,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2360.0,Oud-Turnhout,Antwerpen,,2023/12/18 00:00:00,2026/08/24 04:13:33
9004908812,4908811,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6040.0,Jumet,Henegouwen,,2015/07/01 00:00:00,2026/08/24 04:13:33
9004955675,4955674,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2812.0,Muizen (Mechelen),Antwerpen,,2015/06/01 00:00:00,2026/08/24 04:13:33
9005294783,683494860,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1190.0,Vorst,Brussels Hoofdstedelijk Gewest,,2020/09/18 00:00:00,2026/08/24 04:13:33
9004868653,4868652,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1380.0,Plancenoit,Waals Brabant,,2014/10/16 00:00:00,2026/08/24 04:13:33
2253637226,474218746,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1651.0,Beersel,Vlaams Brabant,,2018/06/01 00:00:00,2026/08/24 04:13:33
9003692351,3692350,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9340.0,Lede,Oost-Vlaanderen,,2006/12/08 00:00:00,2026/08/24 04:13:33
9006554339,409506284,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4130.0,Esneux,Luik,,2026/04/15 00:00:00,2026/08/24 04:13:33
9005274239,5272680,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9420.0,Erpe-Mere,Oost-Vlaanderen,,2020/06/04 00:00:00,2026/08/24 04:13:33
9004893655,4893654,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4910.0,Theux,Luik,,2015/04/28 00:00:00,2026/08/24 04:13:33
9004827770,4827769,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9420.0,Bambrugge,Oost-Vlaanderen,,2014/05/20 00:00:00,2026/08/24 04:13:33
9004571564,4571563,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2480.0,Dessel,Antwerpen,,2011/02/18 00:00:00,2026/08/24 04:13:33
9004618198,4618197,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2011/09/01 00:00:00,2026/08/24 04:13:33
9004784514,4784513,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2300.0,Turnhout,Antwerpen,,2013/12/05 00:00:00,2026/08/24 04:13:33
9005054198,5054197,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9030.0,Mariakerke,Oost-Vlaanderen,,2014/05/03 00:00:00,2026/08/24 04:13:33
9005261375,5261374,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3390.0,Tielt-Winge,Vlaams Brabant,,2020/04/10 00:00:00,2026/08/24 04:13:33
9005364201,3307502,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9770.0,Kruisem,Oost-Vlaanderen,,2021/07/01 00:00:00,2026/08/24 04:13:33
9005272730,3292541,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5680.0,Gochenée,Namen,,2020/06/12 00:00:00,2026/08/24 04:13:33
2376496337,1025670674,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2235.0,Hulshout,Antwerpen,,2025/08/08 00:00:00,2026/08/24 04:13:33
9005558461,5558460,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3840.0,Gors-Opleeuw,Limburg,,2024/02/22 00:00:00,2026/08/24 04:13:33
9004781849,4781848,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6890.0,Anloy,Luxemburg,,2013/11/01 00:00:00,2026/08/24 04:13:33
